ID	DOMES	Date	B	L	Helips	Hnorm	ZTD	mZTD	GradN	GradE	mGradN	mGradE
BART	12234M001	2020-07-08 00:00:00.0	54.25069	20.81544	93.233	65.259	2,397.2	1.6	0.05	-0.65	0.23	0.22
BART	12234M001	2020-07-08 00:30:00.0	54.25069	20.81544	93.233	65.259	2,393.9	1.5	-0.36	-0.27	0.23	0.23
BART	12234M001	2020-07-08 01:00:00.0	54.25069	20.81544	93.236	65.262	2,396.8	0.9	-0.69	-0.18	0.11	0.1
BEDZ	NDNT-BEDZ	2020-07-08 00:00:00.0	50.34453	19.15936	315.215	274.423	2,355.1	1.2	-0.22	-0.81	0.15	0.14
BEDZ	NDNT-BEDZ	2020-07-08 00:30:00.0	50.34453	19.15936	315.215	274.423	2,355.6	1.2	-0.1	-0.59	0.14	0.16
BEDZ	NDNT-BEDZ	2020-07-08 01:00:00.0	50.34453	19.15936	315.215	274.423	2,361.1	0.9	-0.37	-0.67	0.11	0.11
BES1	MUSE-BES1	2020-07-08 00:00:00.0	50.32831	19.12436	310.63	269.73	2,361.9	1.4	-0.12	-0.95	0.17	0.18
BES1	MUSE-BES1	2020-07-08 00:30:00.0	50.32831	19.12436	310.63	269.73	2,361.1	1.4	-0.62	-0.27	0.18	0.22
BES1	MUSE-BES1	2020-07-08 01:00:00.0	50.32831	19.12436	310.632	269.732	2,360.6	1	-0.64	-0.12	0.11	0.15
BIA2	NDNT-BIAL	2020-07-08 00:00:00.0	49.39022	20.09875	754.862	713.423	2,225.3	1.3	-1.01	-0.35	0.16	0.16
BIA2	NDNT-BIAL	2020-07-08 00:30:00.0	49.39022	20.09875	754.862	713.423	2,220.4	1.2	-0.72	-0.38	0.14	0.16
BIA2	NDNT-BIAL	2020-07-08 01:00:00.0	49.39022	20.09875	754.867	713.428	2,216.7	0.9	-0.43	-0.43	0.11	0.11
BILG	12236M001	2020-07-08 00:00:00.0	50.5315	22.71858	242.966	209.277	2,344.1	1.3	0.28	0.41	0.17	0.16
BILG	12236M001	2020-07-08 00:30:00.0	50.5315	22.71858	242.966	209.277	2,341.4	1.3	0.32	1.1	0.15	0.18
BILG	12236M001	2020-07-08 01:00:00.0	50.5315	22.71858	242.964	209.275	2,347.3	0.9	0.08	0.06	0.1	0.1
BOGI	12207M003	2020-07-08 00:00:00.0	52.475	21.03522	139.966	109.158	2,387.2	1.9	-0.53	0.71	0.27	0.29
BOGI	12207M003	2020-07-08 00:30:00.0	52.475	21.03522	139.966	109.158	2,381.5	1.5	-0.77	0.88	0.22	0.26
BOGI	12207M003	2020-07-08 01:00:00.0	52.475	21.03522	139.976	109.168	2,383.5	1.1	-0.68	1.17	0.17	0.14
BOGO	12207M002	2020-07-08 00:00:00.0	52.47594	21.03536	149.61	118.804	2,386.2	1.2	-1.35	-1.16	0.15	0.14
BOGO	12207M002	2020-07-08 00:30:00.0	52.47594	21.03536	149.61	118.804	2,387	1.2	-1.4	-0.11	0.16	0.17
BOGO	12207M002	2020-07-08 01:00:00.0	52.47594	21.03536	149.611	118.805	2,380.9	0.9	-0.05	-0.24	0.12	0.12
BOR1	12205M002	2020-07-08 00:00:00.0	52.27694	17.07347	124.426	89.075	2,417.2	1.9	-0.98	-0.7	0.29	0.25
BOR1	12205M002	2020-07-08 00:30:00.0	52.27694	17.07347	124.426	89.075	2,422	1.5	-0.79	-0.41	0.24	0.22
BOR1	12205M002	2020-07-08 01:00:00.0	52.27694	17.07347	124.433	89.082	2,428.9	1.1	-0.78	-0.62	0.16	0.12
BPDL	12223M001	2020-07-08 00:00:00.0	52.03528	23.12736	196.356	167.422	2,365.3	1.2	-0.31	-0.33	0.18	0.15
BPDL	12223M001	2020-07-08 00:30:00.0	52.03528	23.12736	196.356	167.422	2,362.7	1.2	-0.06	-0.4	0.15	0.16
BPDL	12223M001	2020-07-08 01:00:00.0	52.03528	23.12736	196.357	167.423	2,365	0.9	-0.47	-0.51	0.11	0.1
BRZE	NDNT-BRZE	2020-07-08 00:00:00.0	49.969	20.59017	327.372	289.012	2,341.9	1.4	-0.44	-0.33	0.23	0.18
